ma_sinh_vien,hoc_ky,diem_ren_luyen,xep_loai_rl,loai_hoc_bong,muc_tien_hb,hinh_thuc_ky_luat,ly_do_ky_luat
B21DCKT045,HK1-2021-22,90,Xuất sắc,KKHT Loại Xuất sắc,8000000,,
B21DCKT037,HK1-2021-22,92,Xuất sắc,KKHT Loại Xuất sắc,8000000,,
B21DCKT114,HK1-2021-22,91,Xuất sắc,KKHT Loại Xuất sắc,8000000,,
B21DCKT064,HK1-2021-22,83,Tốt,KKHT Loại Giỏi,3600000,,
B21DCKT127,HK1-2021-22,82,Tốt,KKHT Loại Giỏi,3600000,,
B21DCKT012,HK1-2021-22,85,Tốt,KKHT Loại Giỏi,3600000,,
B21DCKT128,HK1-2021-22,80,Tốt,KKHT Loại Giỏi,3600000,,
B21DCKT007,HK1-2021-22,87,Tốt,KKHT Loại Giỏi,3600000,,
B21DCKT110,HK1-2021-22,82,Tốt,KKHT Loại Giỏi,3600000,,
B21DCKT005,HK1-2021-22,77,Khá,KKHT Loại Khá,1200000,,
B21DCKT005,HK1-2021-22,77,Khá,KKHT Loại Khá,1200000,,
B21DCKT020,HK1-2021-22,75,Khá,KKHT Loại Khá,1200000,,
B21DCKT069,HK1-2021-22,71,Khá,KKHT Loại Khá,1200000,,
B21DCKT120,HK1-2021-22,83,Tốt,KKHT Loại Giỏi,3600000,,
B21DCKT100,HK1-2021-22,89,Tốt,,0,,
B21DCKT054,HK1-2021-22,79,Khá,,0,,
B21DCKT054,HK1-2021-22,79,Khá,,0,,
B21DCKT071,HK1-2021-22,79,Khá,,0,,
B21DCKT039,HK1-2021-22,77,Khá,,0,,
B21DCKT118,HK1-2021-22,71,Khá,,0,,
B21DCKT027,HK1-2021-22,88,Tốt,,0,,
B21DCKT021,HK1-2021-22,79,Khá,,0,,
B21DCKT115,HK1-2021-22,84,Tốt,,0,,
B21DCKT068,HK1-2021-22,90,Xuất sắc,,0,,
B21DCKT112,HK1-2021-22,90,Xuất sắc,,0,,
B21DCKT017,HK1-2021-22,90,Xuất sắc,,0,,
B21DCKT059,HK1-2021-22,90,Xuất sắc,,0,,
