ma_sinh_vien,hoc_ky,diem_ren_luyen,xep_loai_rl,loai_hoc_bong,muc_tien_hb,hinh_thuc_ky_luat,ly_do_ky_luat
B22DCKT130,HK1-2022-23,72,Khá,,0,,
B21DCCN086,HK1-2022-23,75,Khá,,0,,
B22DCKT001,HK1-2022-23,77,Khá,KKHT Loại Khá,1200000,,
B21DCKT037,HK1-2022-23,95,Xuất sắc,KKHT Loại Giỏi,-3600000.0,,
B22DCVT043,HK1-2022-23,65,Khá,,0,,
B21DCKT025,HK1-2022-23,50,Xuất sắc,,0,,
B22DCVT079,HK1-2022-23,77,Khá,,0,,
B21DCVT116,HK1-2022-23,59,Trung bình,,0,,
B21DCCN013,HK1-2022-23,60,Trung bình,,0,,
B21DCCN118,HK1-2022-23,#N/A,,,0,,
B22DCVT086,HK1-2022-23,73,Khá,,0,,
B21DCVT114,HK1-2022-23,82,Tốt,,0,,
B21DCCN091,HK1-2022-23,66,Khá,,0,,
B22DCVT139,HK1-2022-23,69,Khá,,0,,
B22DCKT001,HK1-2022-23,77,Khá,KKHT Loại Khá,1200000,,
B21DCKT095,HK1-2022-23,72,Khá,,0,,
B22DCKT068,HK1-2022-23,64,Trung bình,,0,,
B22DCCN080,HK1-2022-23,66,Khá,,0,,
B22DCKT065,HK1-2022-23,72,Khá,,0,,
B21DCVT079,HK1-2022-23,88,Tốt,KKHT Loại Khá,1200000,,
B21DCKT024,HK1-2022-23,37,Yếu,,0,Cảnh cáo lần 2,Gian lận bài tập
B21DCKT107,HK1-2022-23,86,Tốt,,0,,
B21DCVT086,HK1-2022-23,NULL,Khá,,0,,
B22DCVT026  ,HK1-2022-23,90,Xuất sắc,,0,,
B21DCKT032,HK1-2022-23,70,Khá,,0,,
B21DCKT052,HK1-2022-23,70,Khá,,0,,
B22DCKT020,HK1-2022-23,75,Khá,,0,,
B21DCKT030,HK1-2022-23, ,,,0,,
B22DCVT126,HK1-2022-23,56,Trung bình,,0,,
B21DCKT124,HK1-2022-23,66,Khá,,0,,
B21DCCN001,HK1-2022-23,79,Khá,,0,,
B21DCCN003,HK1-2022-23,72,Khá,,0,,
B21DCVT035,HK1-2022-23,75,Khá,,0,,
B21DCKT029,HK1-2022-23,74,Khá,KKHT Loại Khá,1200000,,
B22DCVT083,HK1-2022-23,53,Trung bình,,0,,
B21DCKT080,HK1-2022-23,63,Trung bình,,0,,
B21DCVT018,HK1-2022-23,69,Khá,,0,,
B22DCVT033,HK1-2022-23,80,Tốt,,0,,
B22DCKT099,HK1-2022-23,87,Tốt,,0,,
B21DCVT005,HK1-2022-23,48,Yếu,,0,,
B21DCVT117,HK1-2022-23,68,Khá,,0,,
B21DCKT010,HK1-2022-23,67,Khá,,0,,
B21DCVT129,HK1-2022-23,67,Khá,,0,,
B21DCCN123,HK1-2022-23,78,Khá,,0,,
B21DCKT049,HK1-2022-23,72,Khá,,0,,
B21DCKT010,HK1-2022-23,67,Khá,,0,,
B21DCKT064,HK1-2022-23,76,Khá,,0,,
B22DCKT125,HK1-2022-23,53,Trung bình,,0,,
B21DCVT038,HK1-2022-23,89,Tốt,KKHT Loại Khá,1200000,,
B22DCKT026,HK1-2022-23,82,Tốt,KKHT Loại Khá,1200000,,
B22DCVT009,HK1-2022-23,66,Khá,,0,,
B22DCCN014,HK1-2022-23,73,Khá,,0,,
B22DCKT106,HK1-2022-23,khá,Khá,KKHT Loại Khá,1200000,,
B21DCVT036,HK1-2022-23,58,Trung bình,,0,,
B22DCCN070,HK1-2022-23,69,Khá,,0,,
B22DCVT011,HK1-2022-23,73,Khá,,0,,
B22 DCVT057,HK1-2022-23,71,Khá,,0,,
B21DCVT120,HK1-2022-23,67,Khá,,0,,
B22DCVT087,HK1-2022-23,59,Trung bình,,0,,
B22DCKT084,HK1-2022-23,44,Yếu,,0,Cảnh cáo lần 2,Nghỉ học quá nhiều
B21DCVT109,HK1-2022-23,50,Trung bình,,0,,
B22DCVT102,HK1-2022-23,chưa có,,,0,,
B21DCKT074,HK1-2022-23,56,Trung bình,,0,,
B21DCVT130,HK1-2022-23,76,Khá,,0,,
B21DCCN054,HK1-2022-23,58,Trung bình,,0,,
B22DCVT014,HK1-2022-23,70,Khá,,0,,
B21DCKT019,HK1-2022-23,57,Trung bình,,0,,
B22DCKT064,HK1-2022-23,76,Khá,,0,,
B22DCVT095,HK1-2022-23,88,Tốt,,0,,
B21DCKT075,HK1-2022-23,Chưa nhập,Khá,,0,,
B22DCVT039,HK1-2022-23,61,Trung bình,,0,,
b22dcvt111,HK1-2022-23,58,Trung bình,,0,,
B21DCKT031,HK1-2022-23,69,Khá,,0,,
B21DCVT062,HK1-2022-23,57,Trung bình,,0,,
B21DCVT125,HK1-2022-23,77,Khá,,0,,
B21DCVT079,HK1-2022-23,88,Tốt,KKHT Loại Khá,1200000,,
B21DCCN030,HK1-2022-23,46,Yếu,,0,Cảnh cáo lần 1,Gian lận bài tập
B21DCVT044,HK1-2022-23,73,Khá,,0,,
